,author_name,short_id,institution,share_pct,location,repec_institution_id,author_url,matched_author,match_score,matched_index
2483,"Breckenfelder, Johannes",pbr643,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pbr643.html,han,90.0,135569
6254,"Dohmen, Thomas Johannes",pdo43,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pdo43.html,han,90.0,135569
17999,"Miho, Antonela",pmi853,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pmi853.html,ela,90.0,140131
21495,"Pycroft, Jonathan",ppy14,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/e/ppy14.html,han,90.0,135569
28678,"Wieland, Elisabeth",pwi325,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pwi325.html,ela,90.0,140131
21823,"Resnjanskij, Sven",pre529,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,50%,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pre529.html,jan,90.0,122147
6130,"Dobbelaere, Sabien",pdo46,Institute of Labor Economics (IZA),34%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pdo46.html,ela,90.0,140131
611,"Altindag, Onur",pal706,Institute of Labor Economics (IZA),33%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pal706.html,nur,90.0,107498
27517,"van der Werf, Edwin",pwe102,CESifo,5%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pwe102.html,n d,90.0,37003
26283,"Timmis, Jonathan",pti253,CESifo,5%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pti253.html,han,90.0,135569
13097,"Khan, Muhammad Yasir",pkh450,Institute of Labor Economics (IZA),50%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pkh450.html,han,90.0,135569
13086,"Kaiser, Johannes",pka202,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pka202.html,han,90.0,135569
13042,"Khamis, Melanie",pkh269,Institute of Labor Economics (IZA),50%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pkh269.html,ela,90.0,140131
11888,"Huber, Katrin Stephanie",phu695,Institute of Labor Economics (IZA),20%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/phu695.html,han,90.0,135569
17859,"Mullainathan, Sendhil",pmu103,Institute of Labor Economics (IZA),2%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pmu103.html,han,90.0,135569
9524,"Galassi, Gabriela",pga982,Institute of Labor Economics (IZA),50%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pga982.html,ela,90.0,140131
28832,"Ye, Han",pye151,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pye151.html,e,90.0,47417
12583,"Jenmana, Thanasak Mark",pje171,Paris School of Economics,50%,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pje171.html,han,90.0,135569
25616,"Slotwinski, Michaela",psl93,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),50%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/e/psl93.html,ela,90.0,140131
29185,"Zouri, Stephane",pzo90,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pzo90.html,han,90.0,135569
15872,"Lutz, Benjamin Johannes",plu232,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/plu232.html,han,90.0,135569
9413,"Graeb, Johannes",pgr490,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pgr490.html,han,90.0,135569
14490,"Le Goff, Maelan",ple591,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/ple591.html,ela,90.0,140131
9839,"Gandil, Mikkel",pga1159,CESifo,3%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pga1159.html,andi,90.0,98884
14225,"Koenen, Johannes",pko653,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pko653.html,han,90.0,135569
13890,"Klein, Melanie",pkl189,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/e/pkl189.html,ela,90.0,140131
6380,"Donatello, Shane",pdo449,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pdo449.html,han,90.0,135569
18157,"Miller, Amalia Rebecca",pmi419,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pmi419.html,malia,90.0,75315
7442,"Di Maria, Angela",pdi546,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pdi546.html,ela,90.0,140131
26521,"Tchung-Ming, Stephane",ptc20,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/e/ptc20.html,han,90.0,135569
16564,"Monacelli, Daniela",pmo254,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pmo254.html,ela,90.0,140131
16443,"Mahuteau, Stephane",pma204,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pma204.html,han,90.0,135569
21029,"Piazzalunga, Daniela",ppi387,Institute of Labor Economics (IZA),3%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/ppi387.html,ela,90.0,140131
5026,"Carrillo-Tudela, Carlos",pca250,CESifo,1%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pca250.html,ela,90.0,140131
4307,"Chatelais, Nicolas",pch1299,Banque de France,50%,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pch1299.html,ela,90.0,140131
5025,"Carrillo-Tudela, Carlos",pca250,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pca250.html,ela,90.0,140131
24778,"Schank, Thorsten",psc103,Institute of Labor Economics (IZA),47%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/psc103.html,han,90.0,135569
28390,"Walter, Johannes Dominik",pwa1129,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),50%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pwa1129.html,han,90.0,135569
1248,"Angelucci, Manuela",pan79,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pan79.html,ela,90.0,140131
19542,"Orlandi, Marco  Sr.",por247,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/por247.html,andi,90.0,98884
20556,"Portes, Jonathan",ppo583,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/ppo583.html,han,90.0,135569
28078,"Vuri, Daniela",pvu8,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pvu8.html,ela,90.0,140131
28079,"Vuri, Daniela",pvu8,CESifo,10%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pvu8.html,ela,90.0,140131
18838,"Nathan, Max",pna331,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pna331.html,han,90.0,135569
28122,"Wackerbauer, Johann",pwa406,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pwa406.html,han,90.0,135569
16158,"Maddaloni, Angela Maria",pma769,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pma769.html,ela,90.0,140131
10122,"Garcia-Gutierrez, Pelayo",pga1155,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pga1155.html,ela,90.0,140131
20756,"Petsakos, Athanasios",ppe465,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/ppe465.html,han,90.0,135569
28206,"Wech, Daniela",pwe379,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pwe379.html,ela,90.0,140131
26911,"Ural Marchand, Beyza P.",pur16,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pur16.html,han,90.0,135569
4812,"Carlana, Michela",pca1329,Institute of Labor Economics (IZA),6%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pca1329.html,ela,90.0,140131
18764,"Nardo, Michela",pna596,Joint Research Centre European Commission,100,"Ispra, Italy",edi:eejrcit,https://ideas.repec.org/f/pna596.html,ela,90.0,140131
18698,"Nam, Chang Woon",pna249,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pna249.html,han,90.0,135569
8290,"Fahr, Stephan Alexander",pfa154,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/e/pfa154.html,han,90.0,135569
2208,"Bersch, Johannes",pbe825,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pbe825.html,han,90.0,135569
5002,"Carretero, Stephanie",pca913,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pca913.html,han,90.0,135569
3070,"Brunner, Johann K.",pbr57,CESifo,02%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pbr57.html,han,90.0,135569
20852,"Pfeiffer, Johannes",ppf17,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/e/ppf17.html,han,90.0,135569
24763,"Strobel, Johannes",pst986,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pst986.html,han,90.0,135569
11237,"Heblich, Stephan",phe224,CESifo,1%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/phe224.html,han,90.0,135569
4673,"Chen, Xi",pch679,Institute of Labor Economics (IZA),24%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pch679.html,e,90.0,47417
24504,"Savini Zangrandi, Michele",psa1511,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/psa1511.html,andi,90.0,98884
14286,"Koettl, Johannes",pko427,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pko427.html,han,90.0,135569
1177,"Andres, Raphaela",pan593,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pan593.html,ela,90.0,140131
4721,"Carcillo, Stephane",pca324,Institute of Labor Economics (IZA),33%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pca324.html,han,90.0,135569
24227,"Sarcina, Angela",psa1324,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/psa1324.html,ela,90.0,140131
7222,"Dees, Stephane",pde176,Banque de France,94%,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/e/pde176.html,han,90.0,135569
4079,"Chancel, Lucas",pch1559,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pch1559.html,han,90.0,135569
15700,"Ludwig, Johannes",plu321,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/plu321.html,han,90.0,135569
27292,"Velazquez, Agustin",pve370,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pve370.html,ela,90.0,140131
15353,"Li, Lei",pli1237,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pli1237.html,e,90.0,47417
15722,"Luehrmann, Melanie",plu132,CESifo,5%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/plu132.html,ela,90.0,140131
10937,"Gernandt, Johannes",pge99,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/e/pge99.html,han,90.0,135569
4118,"Chang, Fwu-Ranq",pch289,CESifo,50%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pch289.html,han,90.0,135569
23970,"Stake, Johan Ygge",pst1007,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pst1007.html,han,90.0,135569
27280,"Velasquez, Andrea",pve120,Institute of Labor Economics (IZA),50%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pve120.html,ela,90.0,140131
15519,"Lay, Max",pla1141,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pla1141.html,x,90.0,45412
7324,"Dupraz, Stephane",pdu449,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pdu449.html,han,90.0,135569
15017,"Landis, Florian",pla453,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pla453.html,andi,90.0,98884
10605,"Gauthier, Stephane",pga339,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pga339.html,han,90.0,135569
7444,"de Jong, Beyhan",pde1354,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pde1354.html,han,90.0,135569
15229,"Lhuissier, Stephane",plh11,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/e/plh11.html,han,90.0,135569
11007,"Geyer, Johannes Michael",pge81,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pge81.html,han,90.0,135569
15640,"Le Bihan, Herve",ple240,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/ple240.html,han,90.0,135569
24330,"Stephan, Gesine",pst312,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pst312.html,han,90.0,135569
20546,"Portela, Miguel",ppo44,Institute of Labor Economics (IZA),34%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/ppo44.html,ela,90.0,140131
27520,"van der Wiel, Karen",pva281,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pva281.html,n d,90.0,37003
4186,"Colabella, Andrea",pco951,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pco951.html,lab,90.0,140133
19014,"Niefert, Michaela",pni186,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/e/pni186.html,ela,90.0,140131
25500,"Schultefrankenfeld, Guido",psc644,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/psc644.html,schultefrankenfeld guido,89.79591836734694,86809
27011,"Vasilakis, Chrysovalantis",pva580,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pva580.html,vasilakis chrysovalantis,89.79591836734694,93805
5933,"di Salvatore, Antonietta",pdi643,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pdi643.html,di salvatore antonietta,89.36170212765957,35390
18801,"Notarpietro, Alessandro",pno197,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/pno197.html,notarpietro alessandro,88.88888888888889,118833
230,"Alessandri, Piergiorgio",pal407,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pal407.html,alessandri piergiorgio,88.88888888888889,91241
8220,"Ferraresi, Massimiliano",pfe466,Joint Research Centre European Commission,90%,"Ispra, Italy",edi:eejrcit,https://ideas.repec.org/f/pfe466.html,ferraresi massimiliano,88.88888888888889,62294
20724,"Pouliakas, Konstantinos",ppo98,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/ppo98.html,pouliakas konstantinos,88.88888888888889,147711
3078,"Brunnschweiler, Christa",pbr166,CESifo,1%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pbr166.html,brunnschweiler christa,88.88888888888889,114117
488,"Adamopoulou, Effrosyni",pad100,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),98%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/e/pad100.html,adamopoulou effrosyni,88.37209302325581,43065
3292,"Bauernschuster, Stefan",pba546,Institute of Labor Economics (IZA),2%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pba546.html,bauernschuster stefan,88.37209302325581,133047
28951,"Zhuravskaya, Ekaterina",pzh71,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pzh71.html,zhuravskaya ekaterina,88.37209302325581,131214
2247,"Bandyopadhyay, Subhayu",pba156,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pba156.html,bandyopadhyay subhayu,88.37209302325581,141110
490,"Adamopoulou, Effrosyni",pad100,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pad100.html,adamopoulou effrosyni,88.37209302325581,43065
3293,"Bauernschuster, Stefan",pba546,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,2%,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pba546.html,bauernschuster stefan,88.37209302325581,133047
2037,"Balestrino, Alessandro",pba189,CESifo,10%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pba189.html,balestrino alessandro,88.37209302325581,133051
9830,"Giovannini, Alessandro",pgi271,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pgi271.html,giovannini alessandro,88.37209302325581,98621
3291,"Bauernschuster, Stefan",pba546,CESifo,2%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pba546.html,bauernschuster stefan,88.37209302325581,133047
2091,"Berlingieri, Francesco",pbe763,Joint Research Centre European Commission,100,"Ispra, Italy",edi:eejrcit,https://ideas.repec.org/f/pbe763.html,berlingieri francesco,88.37209302325581,132459
642,"Affinito, Massimiliano",paf55,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/paf55.html,affinito massimiliano,88.37209302325581,103046
8858,"Friedl, Aleksandra",pfr477,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pfr477.html,riedl aleksandra,88.23529411764706,102808
8421,"Foureaux Koppensteiner, Martin",pko94,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pko94.html,foureaux koppensteiner martin,88.13559322033898,48032
29040,"Zanichelli, Francesca",pza460,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pza460.html,zanichelli francesca,87.8048780487805,35392
22818,"Rusinowska, Agnieszka",pru213,Paris School of Economics,50%,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pru213.html,rusinowska agnieszka,87.8048780487805,45581
5450,"Christidis, Panayotis",pch1275,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pch1275.html,christidis panayotis,87.8048780487805,32548
