JEL Subject,Title,Author(s),Year,Type,Affiliations,URL
B,Riddles and Models: A Review Essay on Michel De Vroey's A History of Macroeconomics from Keynes to Lucas and Beyond,Voir texte,2018,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a56_3ay_3a2018_3ai_3a4_3ap_3a1538-76.htm
B,The Road to Serfdom after 75 Years,Voir texte,2020,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a58_3ay_3a2020_3ai_3a3_3ap_3a720-48.htm
B,Retrospectives: What Did the Ancient Greeks Mean by Oikonomia?,Voir texte,2016,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a30_3ay_3a2016_3ai_3a1_3ap_3a225-31.htm
B,Retrospectives: How Economists Came to Accept Expected Utility Theory: The Case of Samuelson and Savage,Voir texte,2016,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a30_3ay_3a2016_3ai_3a2_3ap_3a219-36.htm
B,Retrospectives: On the Genius Behind David Ricardo's 1817 Formulation of Comparative Advantage,Voir texte,2018,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a32_3ay_3a2018_3ai_3a4_3ap_3a227-40.htm
B,Retrospectives: Ricardo on Machinery,Voir texte,2019,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a33_3ay_3a2019_3ai_3a2_3ap_3a229-42.htm
B,Retrospectives: Regulating Banks versus Managing Liquidity: Jeremy Bentham and Henry Thornton in 1802,Voir texte,2020,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a34_3ay_3a2020_3ai_3a4_3ap_3a195-209.htm
B,"Joan Robinson on Karl Marx: ""His Sense of Reality Is Far Stronger""",Voir texte,2022,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a2_3ap_3a247-64.htm
B,"Sadie T. M. Alexander: Black Women and a ""Taste of Freedom in the Economic World""",Voir texte,2022,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a4_3ap_3a205-20.htm
B,Gabriel Zucman: Winner of the 2023 Clark Medal,Voir texte,2024,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a38_3ay_3a2024_3ai_3a2_3ap_3a227-44.htm
B,"Retrospectives: Friedman and Schwartz, Disaggregated",Voir texte,2024,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a38_3ay_3a2024_3ai_3a4_3ap_3a211-28.htm
B,"Philipp Strack, 2024 Clark Medalist",Voir texte,2025,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a39_3ay_3a2025_3ai_3a1_3ap_3a225-46.htm
B,Emi Nakamura: 2019 John Bates Clark Medalist,Voir texte,2020,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a34_3ay_3a2020_3ai_3a1_3ap_3a222-39.htm
B,JUSTIFICATION OF SCENARIOS OF STATE REGULATORY POLICY OF UKRAINE,Irina Kolupaieva,2019,Journal Article," Kharkiv Institute of Trade and Economics of Kyiv National University of Trade and Economics, Economic and Management Department, Kharkiv Olena Shevchenko: Donbass State Engineering Academy, Economic and Management Department, Kramatorsk",https://econpapers.repec.org/article/aadiseicj/v_3a7_3ay_3a2019_3ai_3a0_3ap_3a165-172.htm
B,AN EMPIRICAL VIEW ON VALUE THEORY AND VALUE-BASED MANAGEMENT,Voir texte,2016,Journal Article,,https://econpapers.repec.org/article/aadiseicj/v_3a4_3ay_3a2016_3ai_3a0_3ap_3a026-035.htm
C,On the equivalence of buyer and seller proposals within canonical matching and pricing environments,Voir texte,2016,Working Paper,,https://econpapers.repec.org/paper/aahaarhec/2016-10.htm
C,Uncertainty and Monetary Policy in the US: A Journey into Non-Linear Territory,Voir texte,2020,Working Paper,,https://econpapers.repec.org/paper/aahaarhec/2020-05.htm
C,The Coordinating Power of Social Norms,Voir texte,2020,Working Paper,,https://econpapers.repec.org/paper/aahaarhec/2020-06.htm
C,Management accounting and the idea of machine learning,Voir texte,2020,Working Paper,,https://econpapers.repec.org/paper/aahaarhec/2020-09.htm
C,Cooperation and Norm-Enforcement under Impartial vs. Competitive Sanctions,Jan Philipp Krügel,2020,Working Paper," Helmut-Schmidt University Hamburg Nicola Maaser: Department of Economics and Business Economics, Aarhus University, Postal: Fuglesangs Alle 4, DK-8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahaarhec/2020-15.htm
C,"How to Cope with Dyslexia: The Effects of Special Education on Academic Performance, Personality Traits, and Well-being",Søren Albeck Nielsen,2021,Working Paper," Department of Economics and Business Economics, TrygFonden's Centre for Child Research, Centre for Integrated Register-based Research, CIRRAU, Aarhus University, Postal: Fuglesangs Alle 4, DK-8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahaarhec/2021-13.htm
C,Job Amenities in the Market for CEOs,Arnaud Dupuy,2023,Working Paper," Department of Economics and Business Economics, University of Luxembourg Ran Sun Lyng: Tampere University",https://econpapers.repec.org/paper/aahaarhec/2023-08.htm
C,Ambiguity induces opportunistic rule breaking and erodes social norms,Lucas Molleman,2023,Working Paper," Department of Psychology, University of Amsterdam, and Social Psychology, Tilburg University Tine Venema: Copernicus Institute of Sustainable Development, Utrecht University",https://econpapers.repec.org/paper/aahaarhec/2023-11.htm
C,System Estimation of Panel Data Models under Long-Range Dependence,Yunus Emre Ergemen,2016,Working Paper," Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-02.htm
C,Generalized Efficient Inference on Factor Models with Long-Range Dependence,Yunus Emre Ergemen,2016,Working Paper," Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-05.htm
C,Comparing Predictive Accuracy under Long Memory - With an Application to Volatility Forecasting,Michael Will,2016,Working Paper," Leibniz University Hannover, Postal: Institut für Statistik, an der wirtschaftswissenschaftlichen Fakultät, Königsworther Platz 1, 30167 Hannover, Germany",https://econpapers.repec.org/paper/aahcreate/2016-17.htm
C,Convergence rates of sums of a-mixing triangular arrays: with an application to non-parametric drift function estimation of continuous-time processes,Voir texte,2016,Working Paper,,https://econpapers.repec.org/paper/aahcreate/2016-24.htm
C,Component shares in continuous time,Gustavo Fruet Dias,2016,Working Paper," Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark Cristina M. Scherrer: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-25.htm
C,Testing for heteroscedasticity in jumpy and noisy high-frequency data: A resampling approach,Kim Christensen,2016,Working Paper," Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark Ulrich Hounyo: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark Mark Podolskij: Aarhus University and CREATES, Postal: Department of Mathematics, University of Aarhus, Ny Munkegade 118, 8000 Aarhus C, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-27.htm
C,The Drift Burst Hypothesis,Kim Christensen,2016,Working Paper," Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark Roel Oomen: Deutsche Bank AG (London) and London School of Economics & Political Science (LSE) - Department of Statistics, Postal: Winchester House, 1 Great Winchester Street, London, EC2N 2DB, United Kingdom Roberto Renò: Department of Economics, University of Verona, Postal: Department of Economics, Via Cantarane 24, 37129 Verona, Italy",https://econpapers.repec.org/paper/aahcreate/2016-28.htm
C,A New Index of Housing Sentiment,Stig V. Møller,2016,Working Paper," Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-32.htm
C,Estimation of the global regularity of a multifractional Brownian motion,Joachim Lebovits,2016,Working Paper," University Paris 13, Postal: Laboratoire Analyse, Géométrie et Applications, C.N.R.S. (UMR 7539), Université Paris 13, Sorbonne Paris Cité, 99 avenue Jean-Baptiste Clément 93430, Villetaneuse, France Mark Podolskij: Aarhus University and CREATES, Postal: Department of Mathematics, University of Aarhus, Ny Munkegade 118, 8000 Aarhus C, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-33.htm
C,A regime-switching stochastic volatility model for forecasting electricity prices,Oskar Knapik,2017,Working Paper," Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs Allé 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2017-03.htm
C,The Walking Debt Crisis,Tobias Basse,2017,Working Paper," Norddeutsche Landesbank Girozentrale, Postal: Norddeutsche Landesbank Girozentrale, Friedrichswall 10, 30159 Hannover, Germany, and Touro College Berlin, Am Rupenhorn 5, 14055 Berlin, Germany",https://econpapers.repec.org/paper/aahcreate/2017-06.htm
