JEL Subject,Title,Author(s),Journal,Year,Type,Affiliations,URL
A,Lessons for Expanding the Share of Disadvantaged Students in Economics from the AEA Summer Program at Michigan State University,Cook Lisa D.; Moser Christine,Journal of Economic Perspectives,2024.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a38_3ay_3a2024_3ai_3a3_3ap_3a191-208.htm
A,Rational rollout of new medicines for diseases of poverty,Bate Roger,AEI Economic Perspectives,2015.0,Journal Article,Roger Bate: American Enterprise Institute,https://econpapers.repec.org/article/aeijournl/y_3a2015_3aid_3a842989.htm
A,Understanding middle-class tax cuts,Brill Alex,AEI Economic Perspectives,2016.0,Journal Article,,https://econpapers.repec.org/article/aeijournl/y_3a2016_3aid_3a881479.htm
A,The candidates in their own words: A textual analysis of 2016 president primary debates,Zhong Weifeng,AEI Economic Perspectives,2016.0,Journal Article,,https://econpapers.repec.org/article/aeijournl/y_3a2016_3aid_3a882015.htm
A,Smoking out illicit trade: How some policies intended to limit smoking drive illegal trade,Bate Roger,AEI Economic Perspectives,2016.0,Journal Article,Roger Bate: American Enterprise Institute,https://econpapers.repec.org/article/aeijournl/y_3a2016_3aid_3a901015.htm
A,Tax reform: Ryan-Brady plan is a better way,Brill Alex,AEI Economic Perspectives,2016.0,Journal Article,,https://econpapers.repec.org/article/aeijournl/y_3a2016_3aid_3a905729.htm
B,Stress for Success: A Review of Timothy Geithner's Financial Crisis Memoir,Gorton Gary,Journal of Economic Literature,2015.0,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a53_3ay_3a2015_3ai_3a4_3ap_3a975-95.htm
B,Game Theory and Cold War Rationality: A Review Essay,Weintraub E. Roy,Journal of Economic Literature,2017.0,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a1_3ap_3a148-61.htm
B,Riddles and Models: A Review Essay on Michel De Vroey's A History of Macroeconomics from Keynes to Lucas and Beyond,Azariadis Costas,Journal of Economic Literature,2018.0,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a56_3ay_3a2018_3ai_3a4_3ap_3a1538-76.htm
B,The Road to Serfdom after 75 Years,Caldwell Bruce,Journal of Economic Literature,2020.0,Journal Article,,https://econpapers.repec.org/article/aeajeclit/v_3a58_3ay_3a2020_3ai_3a3_3ap_3a720-48.htm
B,Retrospectives: What Did the Ancient Greeks Mean by Oikonomia?,Leshem Dotan,Journal of Economic Perspectives,2016.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a30_3ay_3a2016_3ai_3a1_3ap_3a225-31.htm
B,Retrospectives: How Economists Came to Accept Expected Utility Theory: The Case of Samuelson and Savage,Moscati Ivan,Journal of Economic Perspectives,2016.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a30_3ay_3a2016_3ai_3a2_3ap_3a219-36.htm
B,Retrospectives: On the Genius Behind David Ricardo's 1817 Formulation of Comparative Advantage,Bernhofen Daniel M.; Brown John C.,Journal of Economic Perspectives,2018.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a32_3ay_3a2018_3ai_3a4_3ap_3a227-40.htm
B,Retrospectives: Ricardo on Machinery,Hollander Samuel,Journal of Economic Perspectives,2019.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a33_3ay_3a2019_3ai_3a2_3ap_3a229-42.htm
B,Retrospectives: Regulating Banks versus Managing Liquidity: Jeremy Bentham and Henry Thornton in 1802,Berdell John; Mondschean Thomas,Journal of Economic Perspectives,2020.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a34_3ay_3a2020_3ai_3a4_3ap_3a195-209.htm
B,"Joan Robinson on Karl Marx: ""His Sense of Reality Is Far Stronger""",Alves Carolina,Journal of Economic Perspectives,2022.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a2_3ap_3a247-64.htm
B,"Sadie T. M. Alexander: Black Women and a ""Taste of Freedom in the Economic World""",Banks Nina,Journal of Economic Perspectives,2022.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a4_3ap_3a205-20.htm
B,Gabriel Zucman: Winner of the 2023 Clark Medal,Saez Emmanuel,Journal of Economic Perspectives,2024.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a38_3ay_3a2024_3ai_3a2_3ap_3a227-44.htm
B,"Retrospectives: Friedman and Schwartz, Disaggregated",Burns Jennifer,Journal of Economic Perspectives,2024.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a38_3ay_3a2024_3ai_3a4_3ap_3a211-28.htm
B,"Philipp Strack, 2024 Clark Medalist",Fudenberg Drew,Journal of Economic Perspectives,2025.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a39_3ay_3a2025_3ai_3a1_3ap_3a225-46.htm
B,Emi Nakamura: 2019 John Bates Clark Medalist,Eberly Janice; Woodford Michael,Journal of Economic Perspectives,2020.0,Journal Article,,https://econpapers.repec.org/article/aeajecper/v_3a34_3ay_3a2020_3ai_3a1_3ap_3a222-39.htm
B,JUSTIFICATION OF SCENARIOS OF STATE REGULATORY POLICY OF UKRAINE,Kolupaieva Irina; Shevchenko Olena,CBU International Conference Proceedings,2019.0,Journal Article,"Irina Kolupaieva: Kharkiv Institute of Trade and Economics of Kyiv National University of Trade and Economics, Economic and Management Department, Kharkiv Olena Shevchenko: Donbass State Engineering Academy, Economic and Management Department, Kramatorsk",https://econpapers.repec.org/article/aadiseicj/v_3a7_3ay_3a2019_3ai_3a0_3ap_3a165-172.htm
B,AN EMPIRICAL VIEW ON VALUE THEORY AND VALUE-BASED MANAGEMENT,Daraban Marius,CBU International Conference Proceedings,2016.0,Journal Article,,https://econpapers.repec.org/article/aadiseicj/v_3a4_3ay_3a2016_3ai_3a0_3ap_3a026-035.htm
C,On the equivalence of buyer and seller proposals within canonical matching and pricing environments,Kennes John; le Maire Daniel,,2016.0,Working Paper,,https://econpapers.repec.org/paper/aahaarhec/2016-10.htm
C,Uncertainty and Monetary Policy in the US: A Journey into Non-Linear Territory,Pellegrino Giovanni,,2020.0,Working Paper,,https://econpapers.repec.org/paper/aahaarhec/2020-05.htm
C,The Coordinating Power of Social Norms,Fallucchi Francesco; Nosenzo Daniele,,2020.0,Working Paper,,https://econpapers.repec.org/paper/aahaarhec/2020-06.htm
C,Management accounting and the idea of machine learning,Nielsen Steen,,2020.0,Working Paper,,https://econpapers.repec.org/paper/aahaarhec/2020-09.htm
C,Cooperation and Norm-Enforcement under Impartial vs. Competitive Sanctions,KrÃ¼gel Jan Philipp; Maaser Nicola,,2020.0,Working Paper,"Jan Philipp KrÃ¼gel: Helmut-Schmidt University Hamburg Nicola Maaser: Department of Economics and Business Economics, Aarhus University, Postal: Fuglesangs Alle 4, DK-8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahaarhec/2020-15.htm
C,"How to Cope with Dyslexia: The Effects of Special Education on Academic Performance, Personality Traits, and Well-being",Nielsen SÃ¸ren Albeck,,2021.0,Working Paper,"SÃ¸ren Albeck Nielsen: Department of Economics and Business Economics, TrygFonden's Centre for Child Research, Centre for Integrated Register-based Research, CIRRAU, Aarhus University, Postal: Fuglesangs Alle 4, DK-8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahaarhec/2021-13.htm
C,Job Amenities in the Market for CEOs,Dupuy Arnaud; Kennes John; Lyng Ran Sun,,2023.0,Working Paper,"Arnaud Dupuy: Department of Economics and Business Economics, University of Luxembourg Ran Sun Lyng: Tampere University",https://econpapers.repec.org/paper/aahaarhec/2023-08.htm
C,Ambiguity induces opportunistic rule breaking and erodes social norms,Molleman Lucas; Nosenzo Daniele; Venema Tine,,2023.0,Working Paper,"Lucas Molleman: Department of Psychology, University of Amsterdam, and Social Psychology, Tilburg University Tine Venema: Copernicus Institute of Sustainable Development, Utrecht University",https://econpapers.repec.org/paper/aahaarhec/2023-11.htm
C,System Estimation of Panel Data Models under Long-Range Dependence,Ergemen Yunus Emre,,2016.0,Working Paper,"Yunus Emre Ergemen: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-02.htm
C,Generalized Efficient Inference on Factor Models with Long-Range Dependence,Ergemen Yunus Emre,,2016.0,Working Paper,"Yunus Emre Ergemen: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-05.htm
C,Comparing Predictive Accuracy under Long Memory - With an Application to Volatility Forecasting,Kruse Robinson; Leschinski Christian; Will Michael,,2016.0,Working Paper,"Michael Will: Leibniz University Hannover, Postal: Institut fÃ¼r Statistik, an der wirtschaftswissenschaftlichen FakultÃ¤t, KÃ¶nigsworther Platz 1, 30167 Hannover, Germany",https://econpapers.repec.org/paper/aahcreate/2016-17.htm
C,Convergence rates of sums of a-mixing triangular arrays: with an application to non-parametric drift function estimation of continuous-time processes,Kanaya Shin,,2016.0,Working Paper,,https://econpapers.repec.org/paper/aahcreate/2016-24.htm
C,Component shares in continuous time,Dias Gustavo Fruet; Fernandes Marcelo; Scherrer Cristina M.,,2016.0,Working Paper,"Gustavo Fruet Dias: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark Cristina M. Scherrer: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-25.htm
C,Testing for heteroscedasticity in jumpy and noisy high-frequency data: A resampling approach,Christensen Kim; Hounyo Ulrich; Podolskij Mark,,2016.0,Working Paper,"Kim Christensen: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark Ulrich Hounyo: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark Mark Podolskij: Aarhus University and CREATES, Postal: Department of Mathematics, University of Aarhus, Ny Munkegade 118, 8000 Aarhus C, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-27.htm
C,The Drift Burst Hypothesis,Christensen Kim; Oomen Roel; RenÃ² Roberto,,2016.0,Working Paper,"Kim Christensen: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark Roel Oomen: Deutsche Bank AG (London) and London School of Economics & Political Science (LSE) - Department of Statistics, Postal: Winchester House, 1 Great Winchester Street, London, EC2N 2DB, United Kingdom Roberto RenÃ²: Department of Economics, University of Verona, Postal: Department of Economics, Via Cantarane 24, 37129 Verona, Italy",https://econpapers.repec.org/paper/aahcreate/2016-28.htm
C,A New Index of Housing Sentiment,Bork Lasse; MÃ¸ller Stig V.; Pedersen Thomas,,2016.0,Working Paper,"Stig V. MÃ¸ller: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-32.htm
C,Estimation of the global regularity of a multifractional Brownian motion,Lebovits Joachim; Podolskij Mark,,2016.0,Working Paper,"Joachim Lebovits: University Paris 13, Postal: Laboratoire Analyse, GÃ©omÃ©trie et Applications, C.N.R.S. (UMR 7539), UniversitÃ© Paris 13, Sorbonne Paris CitÃ©, 99 avenue Jean-Baptiste ClÃ©ment 93430, Villetaneuse, France Mark Podolskij: Aarhus University and CREATES, Postal: Department of Mathematics, University of Aarhus, Ny Munkegade 118, 8000 Aarhus C, Denmark",https://econpapers.repec.org/paper/aahcreate/2016-33.htm
C,A regime-switching stochastic volatility model for forecasting electricity prices,Exterkate Peter; Knapik Oskar,,2017.0,Working Paper,"Oskar Knapik: Aarhus University and CREATES, Postal: Department of Economics and Business Economics, Fuglesangs AllÃ© 4, 8210 Aarhus V, Denmark",https://econpapers.repec.org/paper/aahcreate/2017-03.htm
C,The Walking Debt Crisis,Basse Tobias; Kruse Robinson; Wegener Christoph,,2017.0,Working Paper,"Tobias Basse: Norddeutsche Landesbank Girozentrale, Postal: Norddeutsche Landesbank Girozentrale, Friedrichswall 10, 30159 Hannover, Germany, and Touro College Berlin, Am Rupenhorn 5, 14055 Berlin, Germany",https://econpapers.repec.org/paper/aahcreate/2017-06.htm
